id,name,description,property_type,room_type,price,weekly_price
38,Cozy 1BD,"Our cozy, day-light basement Mother-in-laws apartment has its private entrance in the back with a private garden and deck. It can accommodate two visitors and provides an incredible central location to explore all Seattle has to offer. Day light basement Mother-in-Law in a charming 1920s Craftsman home, lovely landscaping and gardens. Will accommodate two of you, but best for a single person. The step up in the bathroom creates a height restriction and may not work for taller guests. With a walk score of 90, you can walk to everywhere, including the main drag down 45th St to shops, restaurants, barbershops and banks; everything you may need. You have access to the shared laundry room, free wi-fi, a full kitchen with walk-in pantry, a small but full private bath, and a walk-in closet in the bedroom. I will meet you to deliver the keys, and I can be as available as you are comfortable with! The neighborhood's stellar location can't be beat! Minutes away from everything in Seattle.",Apartment,Entire home/apt,85.00,525.00
39,2 Private Rooms,"Our craftsman has a daylight basement with two private bedrooms and one bathroom. It is located on a quiet street within easy walking distance from both Fremont and the upper Queen Anne neighborhood. It's less than a 10 minute drive downtown and there are convenient bus lines nearby. Our house offers two private bedrooms and bath in the daylight basement. One bedroom has a double bed the other has a queen bed. There is also a closet and dresser available for your things. We have a nice, fenced back yard where you are welcome to relax. The wifi is available throughout the house. We both love to travel and meet new people. We do work full time, so we won't be around a lot during the day, but we are always up for hanging out on the front porch after work for a happy hour drink. Our collie, Emma, is very mellow and friendly and she will certainly become your new friend. Our three bedroom craftsman house is on the north side of Queen Anne hill.",House,Private room,95.00,
40,Bright New Studio,"Brand new, 2nd floor studio apartment with lots of light and territorial views. Quaint, quiet neighborhood offering lots of restaurants and boutique shopping. Located less than 4 miles from Downtown Seattle, Ballard, Fremont, South Lake Union. 1/2 Mile to SPU campus. Private Entrance & off street parking. This cozy open 1 bedroom studio offers lots of light and territorial views. Brand new construction with modern finishes including wood blinds, granite counter tops, in-unit washer/dryer, and kitchen with stove. Second Floor, above garage apartment. Comfortable as an executive rental for one or a getaway for a family of 4. Please note second bed is a pull-out sofa. Unit best suited for 2 adults and 2 kids. Open Bedroom has a Queen Bed Living Area offers a Queen Sleeper Sofa, perfect for additional guests or kids. Looking for kid-friendly equipment? Just ask. We are happy to provide a pack n play, infant toys, or other child needs as available to make your stay more comfortable.",Apartment,Entire home/apt,80.00,550.00
41,Magazine Profiled with Gorgeous View,"We set out to create a one-of-a-kind home and succeeded. The architecture is modern, yet warm, industrial, yet slightly Asian. It has many influences that are Pacific Northwest but it is worldly in its style. The home is spacious, nearly 3000 square. We set out to create a one-of-a-kind home and succeeded. The architecture is modern, yet warm, industrial, yet slightly Asian. It has many influences that are Pacific Northwest but it is worldly in its style. The home is spacious, nearly 3000 square feet and there is plenty of space to be together or have quiet to yourself. Two of the three bathrooms are very large, one with slate shower and jetted tub and a view of the bay. It is wired for music and Wi-Fi. The home is located on the coveted southwest side of Queen Anne hill. Not only is this home an amazing place to relax or entertain, but it has two full office spaces and is fantastic for working while you are here. It is set with cabinets, desks, great lighting and tons of space.",House,Entire home/apt,395.00,
42,5 star Luxury + Tranquility,"Our house looks unassuming from the outside, a Post War epoch in a quiet old Seattle neighborhood. Follow a lovely entry to a secret sanctuary, with spa bath, steam shower and dreamy bed. Nest Queen Anne is perfect for a single guest or couple. Amenities include: A new private apartment with beautiful finishes – stone; marble and clear fir; Spa bathroom with radiant heated floor, soaking tub and steam shower; Kitchenette with gas cooktop, microwave, stainless steel fridge and espresso; Environmentally friendly hot water heating system; Elegant modern fireplace; Wifi and Ethernet connectivity; Cloud-like comfort in W Hotel queen bed, fitted with luxurious linens. High efficiency Washer and Dryer Ample free parking Polite dogs welcome with prior approval. There is a $60 charge for up to two pre-approved dogs, to cover additional cleaning costs generated by even tidy pets. Seattle is a destination for those seeking cultural and outdoor adventures, and new career opportunities.",Apartment,Entire home/apt,145.00,650.00
44,Breeze B&B,"Welcome to Breeze B&B! A stylish retreat on top of Queen Anne Hill. Just 3 blocks from shops and restaurants and minutes to vibrant South Lake Union, the Space Needle, Downtown, Pike Place Market, University of WA, and more! This is a mother-in-law apartment, located beneath a single family home and has it's own separate entrance. Completely renovated 1 bed/1 bath comes equipped with: *Heated bathroom floors, 802-gram turkish cotton towels and bath robes *Kitchenette equipped with Breville oven, hot plate, Nespresso coffee maker, Viking mini-refrigerator, wine cooler, stemware, vintage china...cook in the comfort of home, but don't deny your belly the happiness of Seattle cuisine! *Organic, 100% natural queen size hypo-allergenic mattress. Restoration Hardware vintage-washed bed linens, hypo-allergenic pillow cases, and mattress cover. *65 in smart flatscreen TV equipped with Direct TV and surround sound/*WiFi Guests have access to: Your own private washer/dryer.",House,Entire home/apt,150.00,
45,Gorgeous Downtown Apt,"My beautiful 2 BR apartment in a restored triplex has gorgeous finishes and is just a short three miles from downtown Seattle and close to great restaurants, shopping and sightseeing. Stay in the city for much less than a downtown hotel! My apartment in the top floor of a triplex has 2 bedrooms, 1 bath, a living room, dining room, office and gorgeous kitchen, all with beautiful finishes, including clawfoot bathtub with shower, granite countertops, crown moldings, stainless steel appliances, an Italian gas stove and range, hardwood and heated tile floors, tall ceilings, large windows that provide tons of natural light and a full-size washer and dryer. The kitchen is well equipped for cooks. I live in the Queen Anne neighborhood, which is just three miles from all the local sites to see - Space Needle, Downtown, Belltown, Pike Place Market, and the downtown waterfront. My apartment is within walking distance of great restaurants, boutiques and coffee shops on Queen Anne Avenue.",Apartment,Entire home/apt,115.00,750.00
46,Stylish Craftsman,"Beautiful craftsman filled with light and art. Three bedrooms on three levels, with gourmet kitchen, film room, Dual marble shower and Zen garden. Located just two blocks from Green Lake park, and within 15 minutes of downtown Seattle by bus. Craftsman home on one of Seattle's most beautiful streets, one block from Greenlake, a beloved 300-acre (120 hectares) park. Newly renovated 1926 home with gorgeous details such as film room, Zen garden, master suite with library and office, gourmet kitchen, double marble shower, three full baths, sunny deck, hot tub, period millwork and hardwood floors. Very quiet neighborhood near hip restaurants, one block from bus line, and ten minutes to downtown Seattle. From prizewinning chefs to neighborhood pubs, from contemporary galleries to exciting universities, our city has much to offer families and couples. The Greenlake neighborhood thrives with outdoor enthusiasts and wildlife lovers.",House,Entire home/apt,250.00,
47,Cozy apartment in Green Lake,"Stay in a historic 1916 Craftsman in the famous Green Lake neighborhood of Seattle. This unique one bedroom unit is a garden apartment, with plenty of windows that allow for lots of daylight even when it is raining. It is a warm home away from home. The house is located within blocks of the North Green Lake hub of businesses, restaurants and cafes. And only a few walkable blocks from the Lake, one of Seattle's public libraries and the Seattle bathhouse theater. Note: Any stays shorter than 30 days will be charged tax (tax is already included in charge). There is always something blooming on the property. Early spring finds daffodils and crocuses exploding with color. Later in the spring enjoy the pink blooms of the two Japanese cherry trees in the front of the house. In late spring/early summer enjoy the blooming rhododendrons that surround the property. If you are lucky you may catch the beautiful scent of the white Rosa Robusta.",Apartment,Entire home/apt,130.00,760.00
48,Craftsman Home 1 block from Lake!,"Great location in the Greenlake neighborhood - few blocks from Starbucks, and other coffee shops/restaurants. Gourmet kitchen with marble counter tops and open living/dining room. Enjoy your time at the lake! 2-story craftsman style home 1 block away from Greenlake. Includes 3 bedrooms, 1.5 baths, dinning room, living room and a full kitchen. Laundry is also available on main floor. Main floor includes 1 bedroom with a queen-sized bed and 1 full bathroom. Upstairs includes one bedroom with half bath and a bonus room/den both with full-sized beds. There is also a patio with a gas grill in the back of the house. Rental cars are also available on site for added convenience as well as airport pick up/drop off for additional cost and based on availability. There is a lockbox with the key in it located to the bottom left of the front door. Key code will be provided on the day of arrival. Guests will have access to FREE wi-fi and in-room cable tv (code will be in the house manual).",House,Entire home/apt,79.00,1300.00
49,Comfortable Home Base,"I love the Green Lake neighborhood and have lived here in this 1924 craftsman house for 24 years. Stay with me and experience a relaxed atmosphere and amazing convenience. This is a very open, green and entertaining area of Seattle. My house is 1 block from the most-visited park in Seattle and a short walk from Woodland Park and Zoo. Tangletown is a few blocks uphill with offerings of Zoka Coffee, 2 brewpubs, 1 bar ( pool and burgers) a fine dining restaurant, a dessert shop and also...vegan doughnuts! The University, Fremont, Wallingford and Green Lake business districts are nearby, with many more restaurants, coffee shops and shopping to enjoy. The Fremont troll guards the Aurora bridge nearby. I have easy access to downtown via I-5, Rt 99 and buses, and may be able to lend you a bicycle if you'd like. Sleep in your quiet main floor bedroom, and enjoy the well-lit living and dining areas and basic but functional kitchen. There is also a finished basement room.",House,Private room,60.00,300.00
50,City & Lake Views - Shared,"My condo is located in the center of Seattle. Walking distance from Lake Union and many Seattle attractions. My style is modern and elegant yet warm and cozy. I have 2 bedrooms and 2 bathrooms in my home. I'm offering one of the bedrooms and bathrooms. I also have a massive private deck to enjoy for bbq, sipping the great PNW wines, or to just admire the great views of the city. If I'm at home, I'd be happy to drive and drop off to a certain area. Zip cars are accessible. I also have a couple bikes to explore the city (beware of hills). My place is also seconds away by foot to most of the major bus lines that cross the city. Parking is available for one vehicle. I'm rarely around and frequently travel. I can also offer my entire place if I am not home. Dogs allowed. No cats or other animals please. Breakfast included for the guests staying less than one week. Lux leather Couch is also available for less the cost - Contact me for details. Also, my couch is very comfortable,.",Apartment,Private room,85.00,550.00
